imo,name,ship_type,build_year,gross_tonnage,DWT
9435337,AKHTY,Chemical/Oil Products Tanker,2008,4699,7008
9435363,VOLGA RIVER,Chemical/Oil Products Tanker,2008,4695,7074
9435375,IRTYSH RIVER,Chemical/Oil Products Tanker,2009,4695,7073
9436006,SAMIRA,Crude Oil Tanker,2009,62775,112984
9436018,OCEAN PEARL,Crude Oil Tanker,2009,62775,112871
9436941,YI MENG SHAN,Crude Oil Tanker,2010,55898,105309
9437983,CAI YUN,Crude Oil Tanker,2010,60237,109005
9439058,NORNS,Crude Oil Tanker,2009,160068,309960
9439541,NEMRUT,Crude Oil Tanker,2009,60578,106992
9441178,SANDINO,Chemical/Oil Products Tanker,2009,42006,73719
9451501,GLOBAL GENESIS,Bitumen Tanker,2007,2641,4484
9451642,VENGERY,Offshore Tug/Supply Ship,2010,2736,2577
9453729,KURDOS II,Chemical/Oil Products Tanker,2008,8302,13168
9459242,FELIKS,Oil Products Tanker,2010,28725,45996
9463528,GLORY STAR 1,Oil Products Tanker,2007,10797,16820
9464156,ARIHANT,Oil Products Tanker,2009,8610,12807
9486805,ZEAL,Oil Products Tanker,2017,2169,3751
9486910,BETA,Crude Oil Tanker,2010,55909,105319
9495832,BLACKSEA EAGLE,Oil Products Tanker,2008,5036,7097
9502453,MARIA CRISTINA,Chemical/Oil Products Tanker,2010,11253,16906
9510553,SEA SHORE,Chemical/Oil Products Tanker,2009,6153,9118
9511179,PONTUS,Bitumen Tanker,2008,4249,5742
9511387,OLYMPUS,Crude Oil Tanker,2010,62504,113905
9511521,MIRABEL,Crude Oil Tanker,2010,62504,113867
9511533,PRIMAVERA,Crude Oil Tanker,2010,62504,113860
9513139,FEARLESS,Crude Oil Tanker,2011,83850,156532
9522324,SIERRA,Crude Oil Tanker,2011,62504,113905
9524451,SABINA,Crude Oil Tanker,2011,81282,158574
9524463,SATARA,Crude Oil Tanker,2011,81282,158574
9524475,9524475,Crude Oil Tanker,2011,81282,158574
9526693,GUANG TAI,Chemical/Oil Products Tanker,2010,8836,13968
9529645,SUN 9,Chemical/Oil Products Tanker,2010,11908,19992
9530917,SAKINA,Crude Oil Tanker,2013,81833,157258
9531375,MOLLY,Chemical/Oil Products Tanker,2013,2340,3534
9531387,FOURACE,Chemical/Oil Products Tanker,2013,2340,3502
9534614,HH GLORY,LPG Tanker,2011,48270,54867
9537109,ORENBURG,Oil Products Tanker,2012,3953,6879
9543500,YARE,Crude Oil Tanker,2011,56326,104579
9543512,PARAMACONI,Crude Oil Tanker,2011,56326,104554
9544281,CORUS,Oil Products Tanker,2010,61241,115708
9546708,AZURE SKY,Oil Products Tanker,2011,7591,9890
9546710,MARUTI,Oil Products Tanker,2010,7591,9985
9546722,OCEANJET,Oil Products Tanker,2010,7591,9965
9550682,XING CHEN,Crude Oil Tanker,2009,42010,73427
9552496,TEREPAIMA,Crude Oil Tanker,2011,56326,104736
9553957,COURAGE 7,Bitumen Tanker,2015,3811,3527
9554822,IANTHE,Bitumen Tanker,2012,5680,7226
9554834,XANTE,Bitumen Tanker,2010,5637,7226
9555199,GLOBAL PEACE,Oil Products Tanker,2010,4568,6191
9569205,SEA STAR III,Crude Oil Tanker,2012,164796,317519
9569619,SNOW,Crude Oil Tanker,2012,164796,318021
9569621,STARLA,Crude Oil Tanker,2012,164796,317473
9569633,STREAM,Crude Oil Tanker,2013,164796,317534
9569645,SERENA,Crude Oil Tanker,2013,164796,317536
9569657,SEA CLIFF,Crude Oil Tanker,2013,164796,317502
9569669,DORENA,Crude Oil Tanker,2012,165784,319260
9569671,DINO I,Crude Oil Tanker,2012,165784,319300
9569683,DANIEL,Crude Oil Tanker,2013,165784,319260
9569695,DIONA,Crude Oil Tanker,2013,165784,319297
9569700,DERYA,Crude Oil Tanker,2013,165784,319295
9569712,DUNE,Crude Oil Tanker,2013,165784,319247
9571052,MAHADEV,Bitumen Tanker,2011,4126,5902
9572111,DIGNITY,Oil Products Tanker,2009,7626,9915
9577082,PREMIER,Crude Oil Tanker,2011,42208,74581
9577094,PATHFINDER,Crude Oil Tanker,2011,42208,74548
9582726,BRAVELY LOYALTY,Chemical/Oil Products Tanker,2010,9127,14460
9585912,MARLIN,Chemical/Oil Products Tanker,2020,4701,7033
9585924,KALUGA,Chemical/Oil Products Tanker,2021,4701,7033
9589750,DANSHUI,Crude Oil Tanker,2011,81384,158672
9590008,SOLDIER,Crude Oil Tanker,2013,167572,320840
9590137,MEGION,Chemical/Oil Products Tanker,2011,1764,2679
9599341,JUPITER I,Oil Products Tanker,2010,4812,7111
9599353,VENUS III,Oil Products Tanker,2011,4800,7102
9610781,ZENITH,Crude Oil Tanker,2012,66818,122039
9610793,GEORGY MASLOV,Crude Oil Tanker,2012,66818,122018
9610808,ANATOLY KOLODKIN,Crude Oil Tanker,2013,66855,118316
9610810,VIKTOR BAKAEV,Crude Oil Tanker,2013,66855,118175
9615092,ELIN,LPG Tanker,2013,12216,13421
9621601,VASILY LANOVOY,Chemical/Oil Products Tanker,2016,29795,49996
9622069,ASIA UNITY,Chemical/Oil Products Tanker,2013,20662,29745
9624316,AURA,Chemical/Oil Products Tanker,2012,5160,7334
9630004,VALERA,LNG Tanker,2014,113876,93486
9630028,PERLE,LNG Tanker,2014,113876,93152
9633501,CHELSEA PROVIDENCE,Chemical/Oil Products Tanker,2013,29877,51604
9637650,DING HENG 36,Chemical/Oil Products Tanker,2012,12340,19098
9637961,SERGEY TERSKOV,Crude Oil Tanker,2016,4531,6613
9640516,VELES,Oil Products Tanker,2012,5075,7004
9640528,POSEIDON S,Oil Products Tanker,2012,5075,7031
9641091,GAMKONORA,Crude Oil Tanker,2012,63014,88258
9645011,SANAR-18,Oil Products Tanker,2012,5075,7025
9650016,RN SAKHALIN,Oil Products Tanker,2018,2824,3202
9655470,SATURN I,Oil Products Tanker,2013,5075,7023
9672301,GLOBAL DOMINANCE,Bunkering Tanker,2016,2993,3989
9683726,DMITRY POKROVSKY,Oil Products Tanker,2014,5075,6999
9683738,LADY SEVDA,Oil Products Tanker,2014,5075,7003
9683740,LADY LEILA,Oil Products Tanker,2014,5075,6999
9689031,A R G,Chemical/Oil Products Tanker,2018,13222,19950
9690212,STALINGRAD,Chemical/Oil Products Tanker,2014,4810,6360
9690224,MARSHAL ZHUKOV,Chemical/Oil Products Tanker,2014,4810,6347
9720263,ZAFAR,Bulk Carrier,2015,24198,37300
9735323,YAZ,Chemical/Oil Products Tanker,2014,4754,6619
9735335,SIG,Chemical/Oil Products Tanker,2014,4754,6619
9737187,CHRIS. DE MARGERIE,LNG Tanker,2016,128806,96779
9749154,KUPAVA,Chemical/Oil Products Tanker,2017,4979,6610
9752084,SHTURMAN ALBANOV,Crude Oil Tanker,2016,44354,41455
9752096,SHTURMAN MALYGIN,Crude Oil Tanker,2016,44354,41542
9752101,SHTURMAN OVTSYN,Crude Oil Tanker,2016,44354,41551
9759915,SHTURMAN SKURATOV,Crude Oil Tanker,2017,44354,41401
9759927,SHTURMAN SHCHERBININ,Crude Oil Tanker,2017,44354,41401
9759939,SHTURMAN KOSHELEV,Crude Oil Tanker,2017,44354,41457
9763837,AUDAX,Heavy Load Carrier,2016,34146,33033
9763849,PUGNAX,Heavy Load Carrier,2016,34146,33033
9773301,RICH STARRY,Chemical/Oil Products Tanker,2015,21678,36031
9777670,SANAR-15,Oil Products Tanker,2015,5075,7005
9778313,MARSHAL VASILEVSKIY,Offshore Support Vessel,2018,118423,93292
9779941,SHUSHA,Crude Oil Tanker,2017,61032,113838
9784893,LADY RANIA,Chemical/Oil Products Tanker,2015,5087,7005
9810513,KARABAKH,Crude Oil Tanker,2018,63487,106999
9820312,NIKI,Chemical/Oil Products Tanker,2018,29698,50072
9820324,FEDRA,Chemical/Oil Products Tanker,2018,29698,50154
9820336,MATISA,Chemical/Oil Products Tanker,2018,29698,50127
9826902,GALAXY,Crude Oil Tanker,2019,64909,113232
9827944,SEA LION,Chemical/Oil Products Tanker,2018,19467,28310
9829629,DIJILAH,Crude Oil Tanker,2019,162192,320596
9830769,HUNTER STAR,Heavy Load Carrier,2018,18401,24961
9832547,VELMAR,Crude Oil Tanker,2018,62330,115643
9832559,VIRAT,Crude Oil Tanker,2018,62330,115643
9837547,MIKHAIL LAZAREV,Crude Oil Tanker,2019,44457,41012
9842176,VLADIMIR MONOMAKH,Crude Oil Tanker,2020,65141,112960
9842188,VLADIMIR VINOGRADOV,Crude Oil Tanker,2022,65141,112960
9842190,AKADEMIK GUBKIN,Crude Oil Tanker,2023,65141,112909
9843560,VOYAGER,Crude Oil Tanker,2019,64909,113310
9849887,LA PEROUSE,LNG Tanker,2020,116779,92923
9864837,ARCTIC MULAN,LNG Tanker,2024,54836,44737
9866380,OKEANSKY PROSPECT,Crude Oil Tanker,2022,65141,112651
9866392,VOSTOCHNY PROSPECT,Crude Oil Tanker,2023,65141,112595
9876359,IVAN AIVAZOVSKY,Chemical/Oil Products Tanker,2022,29500,50000
9885879,VALENTIN PIKUL,Crude Oil Tanker,2024,50531,69323
9888182,DMITRY MENDELEEV,Bunkering Tanker,2021,6690,3594
9901025,VLADIMIR ARSENYEV,Crude Oil Tanker,2022,65548,104569
9901037,NIKOLAY ZADORNOV,Crude Oil Tanker,2022,65548,104748
9904546,ALEKSEY KOSYGIN,LNG Tanker,2022,108406,89000
9915090,SAAM FSU,FSO,2023,251053,192072
9915105,KORYAK FSU,FSO,2023,251053,192072
9934498,NAN FENG ZHI XING,Heavy Load Carrier,2022,18116,25119
9953509,BURAN,LNG Tanker,2023,115519,88636
9953511,VOSKHOD,LNG Tanker,2023,115519,88798
9953523,IRIS,LNG Tanker,2024,115519,88809
9953535,ZARYA,LNG Tanker,2024,115519,88709
9969821,TINOS I,LPG Tanker,2024,54492,58032
9352559,PHOENIX VANGUARD,Crude Oil Tanker,2007,157844,306506
9312509,AL SIDDEEQ,Crude Oil Tanker,2007,159911,307284
9291236,LONG XIANG,Crude Oil Tanker,2005,60007,107091
9268186,ATLANTIC,Bunkering Tanker,2002,4341,6019
9269403,BIANCA,Chemical/Oil Products Tanker,2003,19875,29524
9281580,IOANNIS,Chemical/Oil Products Tanker,2006,27207,45557
9298284,CHEMTRANS,Crude Oil Tanker,2005,41994,73964
