imo,name,ship_type,build_year,gross_tonnage,DWT
9299769,AQUATICA,Crude Oil Tanker,2005,57243,106061
9299771,MIRES,Crude Oil Tanker,2005,57243,106094
9299862,AMATRA,Oil Products Tanker,2006,23257,37332
9299874,VIREL,Chemical/Oil Products Tanker,2005,29646,45998
9299886,WALL,Chemical/Oil Products Tanker,2005,29646,45956
9299898,TURBO VOYAGER,Crude Oil Tanker,2005,62477,111775
9299903,DEYNA,Crude Oil Tanker,2005,62477,111808
9300348,SANAR-10,Oil Products Tanker,2004,4378,5600
9300350,SANAR-9,Oil Products Tanker,2005,4378,5600
9300996,WORLD PROGRESS,Chemical/Oil Products Tanker,2005,30104,51303
9301005,WORLD PERFORMANCE,Chemical/Oil Products Tanker,2005,30104,51303
9301380,PAVEL CHERNYSH,Crude Oil Tanker,2005,60434,101978
9301392,KAPITAN KOSTICHEV,Crude Oil Tanker,2005,60434,101930
9301407,VIKTOR TITOV,Crude Oil Tanker,2005,60434,101906
9301419,YURI SENKEVICH,Crude Oil Tanker,2005,60434,101876
9301421,VICTOR KONETSKY,Crude Oil Tanker,2005,60434,102025
9301524,DENEB,Crude Oil Tanker,2006,81380,158843
9301615,SARA II,Chemical/Oil Products Tanker,2004,2097,1504
9302023,MS MELENIA,Crude Oil Tanker,2005,160007,299998
9304356,YODAN,Crude Oil Tanker,2005,56489,105747
9304629,CHENG HE,crude oil tanker,2007,83722,159395
9304655,VERA,Crude Oil Tanker,2004,160068,310389
9304667,SKIPPER,crude oil tanker,2005,160098,310309
9304825,JALDHARA,Crude Oil Tanker,2006,60208,109266
9305192,AMINA,Bulk Carrier,2005,40166,73664
9305221,ARTIN,Bulk Carrier,2006,40166,73664
9305568,BREEZE,Crude Oil Tanker,2005,65293,117153
9305609,ANIKA,Crude Oil Tanker,2006,66919,117055
9306457,ANNABEL,chemical/oil tanker,2005,27505,46746
9306548,ETNA,LPG Tanker,2006,46632,53151
9306562,RHEIN,Crude Oil Tanker,2005,40038,69523
9306627,WU TONG,Crude Oil Tanker,2007,61724,109672
9306665,PRELUDE,Oil Products Tanker,2005,22184,34603
9306782,KARELIYA,Crude Oil Tanker,2006,57248,109989
9306794,CONSTELLATION,Crude Oil Tanker,2006,57248,109987
9306809,CC INNOVATOR,Chemical/Oil Products Tanker,2006,29646,45963
9307633,PRELUDE,Crude Oil Tanker,2005,163904,309373
9307736,NV AQUAMARINE,LPG Tanker,2006,48772,54490
9307748,GAS MARTA,LPG Tanker,2006,48772,54533
9307815,FLORA 1,Chemical/Oil Products Tanker,2005,30053,50921
9307932,TONIL,Crude Oil Tanker,2007,42010,73980
9308065,EVENTIN,Crude Oil Tanker,2006,82647,152013
9308132,TEMPEST DREAM,Crude Oil Tanker,2006,30965,49911
9308170,ESTELLA,Crude Oil Tanker,2007,30965,50314
9308443,INA,Crude Oil Tanker,2006,61955,110270
9308766,PARIMAL,Chemical/Oil Products Tanker,2005,8351,12887
9308778,AMIL,Oil Products Tanker,2004,28799,47999
9308821,BERRA,Crude Oil Tanker,2005,58678,105188
9308833,KUSTO,Crude Oil Tanker,2005,58667,105047
9308857,RYMO,Crude Oil Tanker,2006,58418,104955
9308950,SEASONS I,Crude Oil Tanker,2006,61724,109647
9309227,ELIAH,Chemical/Oil Products Tanker,2006,17757,24853
9309239,OLGA,Chemical/Oil Products Tanker,2007,17757,24783
9309576,SAPPHIRE,Chemical/Oil Products Tanker,2005,27357,47197
9309588,SYMPHONY,Chemical/Oil Products Tanker,2005,27357,47197
9310147,NATALINA 7,Crude Oil Tanker,2006,161190,298971
9310159,CATALINA 7,Crude Oil Tanker,2007,161768,298923
9310525,QENDIL,Crude Oil Tanker,2006,61991,115338
9310707,AGATE,Oil Products Tanker,2005,28823,48658
9311270,MONIQUE,Crude Oil Tanker,2005,159953,306206
9311309,GLOBAL ANGEL,Oil Products Tanker,2003,7034,10000
9311531,LINDOR,Crude Oil Tanker,2005,56204,105522
9311622,VANGUARD,Crude Oil Tanker,2006,87146,162397
9312872,XD LEO,Crude Oil Tanker,2007,57325,105571
9312884,KEMEROVO,Crude Oil Tanker,2007,57248,109919
9312896,KRASNOYARSK,Crude Oil Tanker,2007,57248,109819
9313149,TASCA,Crude Oil Tanker,2007,160133,309985
9313151,TIAN DU FENG,Oil Products Tanker,2006,29588,45709
9313498,JACKLYN,Crude Oil Tanker,2008,57657,105773
9313589,SANAR-14,Oil Products Tanker,2004,4378,5600
9314088,LYRA,Crude Oil Tanker,2004,58136,107081
9314105,MAKALU,Crude Oil Tanker,2005,58217,107081
9314167,AGNI,Oil Products Tanker,2007,42684,73672
9314818,MILEY,Chemical/Oil Products Tanker,2006,23260,37273
9314882,RUNA,Chemical/Oil Products Tanker,2006,23325,39378
9314894,INDRAS,Chemical/Oil Products Tanker,2006,23325,39378
9315446,SPRING,Crude Oil Tanker,2005,61724,109570
9315654,SEA HONOR,Crude Oil Tanker,2005,83469,158706
9316127,VEGA,Crude Oil Tanker,2007,87146,163545
9316701,PROGRESS V,Crude Oil Tanker,2006,160292,313992
9317949,KARTHA,Crude Oil Tanker,2007,67032,116905
9318022,CHARMINAR,Chemical/Oil Products Tanker,2006,30053,50922
9318034,SARD,Chemical/Oil Products Tanker,2006,30053,50844
9318539,SWIFTSEA RIDER,Crude Oil Tanker,2007,84315,166188
9318541,SERENADE,Chemical/Oil Products Tanker,2006,27357,46941
9318553,SAGA,Chemical/Oil Products Tanker,2006,27357,46941
9319674,NIGHT GLORY,Crude Oil Tanker,2007,61724,109647
9319686,HU PO,Crude Oil Tanker,2008,61724,109650
9319703,SIRAJ,Crude Oil Tanker,2008,61853,109672
9319870,MAINI,Crude Oil Tanker,2007,62241,116104
9319882,ARYABHATA,Crude Oil Tanker,2007,62241,116093
9320843,KUN PENG,Crude Oil Tanker,2007,159939,300363
9321421,EMMA,Oil Products Tanker,2006,5617,8033
9321689,OCEAN FAYE,Crude Oil Tanker,2007,61653,114523
9321691,BARQ,Crude Oil Tanker,2006,81409,158889
9321706,LATUR,Crude Oil Tanker,2006,81409,158881
9321718,ZALE,Crude Oil Tanker,2006,81409,158920
9321847,AREIA,Crude Oil Tanker,2006,59158,115567
9321976,SYNDRA,Crude Oil Tanker,2007,56172,105495
9322267,SAHARA,Crude Oil Tanker,2007,158244,306431
9322827,PICTOR,Crude Oil Tanker,2006,61371,114849
9322839,AVRIL,Crude Oil Tanker,2006,61371,114896
9322956,PROSPERITY,Chemical/Oil Products Tanker,2006,25467,40119
9322968,HYPERION,Chemical/Oil Products Tanker,2006,25467,40161
9323338,BETTLE,Chemical/Oil Products Tanker,2006,30681,52679
9323376,MARABELLA SUN,Chemical/Oil Products Tanker,2007,30701,52648
9323974,MARBLE,Crude Oil Tanker,2006,56285,105445
9323986,GARASAN,Crude Oil Tanker,2007,56285,105547
9324277,NOVA ENERGY,LNG Tanker,2007,100253,85602
9325817,GOLDEN EAGLE II,Oil Products Tanker,2006,28059,45811
