IMO,Name of ship,Gross tonnage,Type of ship,Vessel Size,Year of build,Controller,Flag,Class,Last Survey,Russian lifter,Iran Linked?,Re Classed in 2022,Transacted in 2022,Suspicious
9240914,CHEM,5998,Chemical/Oil Products Tanker,Small Tanker,2000,UNKNOWN,Cook islands (COK),IRS,14/12/2020,, , ,,
9378321,SONGA CRYSTAL,8485,Crude Oil Tanker,Handy,2006,UNKNOWN,Malta (MLT),KR,23/10/2020,, , ,,
9857779,GANG NING,6194,Oil Products Tanker,Small Tanker,2018,UNKNOWN,China Peoples's Republic (CHN),#N/A,#N/A,, , ,,
9200603,GEUM GANG,6294,Chemical/Oil Products Tanker,Small Tanker,2000,Jeil International,Korea (Republic of) (KOR),KR,27/2/2020,, , ,,
9466611,THERASIA M,6444,Chemical/Oil Products Tanker,Small Tanker,2011,Augusta Due,Italy (ITA),BV,22/2/2016,, , ,,
9255969,LINK OCEAN 1,6489,Chemical/Oil Products Tanker,Small Tanker,2001,UNKNOWN,Panama (PAN),KR,6/9/2016,, , ,,
9473925,SONGA JADE,11259,Crude Oil Tanker,Handy,2009,UNKNOWN,Malta (MLT),KR,2/7/2019,, , ,,
9902495,MAO HUA 6,6502,Oil Products Tanker,Small Tanker,2019,UNKNOWN,China Peoples's Republic (CHN),#N/A,#N/A,, , ,,
9910521,BEI HAI XIN XI WANG,11459,Crude Oil Tanker,Handy,2021,Shanghai North Sea Shipping,China Peoples's Republic (CHN),#N/A,#N/A,, , ,,
9444455,SONGA PEARL,11472,Crude Oil Tanker,Handy,2008,UNKNOWN,Malta (MLT),KR,21/8/2018,, , ,,
9444467,SONGA SAPPHIRE,11472,Crude Oil Tanker,Handy,2008,UNKNOWN,Malta (MLT),KR,20/9/2018,, , ,,
8531718,CHANG FENG YOU 11,6509,Oil Products Tanker,Small Tanker,2015,UNKNOWN,China Peoples's Republic (CHN),#N/A,#N/A,, , ,,
9261841,SPM ENDURANCE,6516,Chemical/Oil Products Tanker,Small Tanker,2003,Equatorial Marine,Liberia (LBR),BV,5/3/2018,, , ,,
9221803,ARBOL,6519,Chemical/Oil Products Tanker,Small Tanker,2001,UNKNOWN,Panama (PAN),LRS,9/11/2016,, , ,,
9286451,ALPHA,6522,Chemical/Oil Products Tanker,Small Tanker,2004,UNKNOWN,Liberia (LBR),ABS,3/2/2020,, , ,,
9106651,PALU SIPAT/PERTAMINA 1025,13964,Crude Oil Tanker,Handy,2000,Pertamina,Indonesia (IDN),#N/A,#N/A,, , ,,
9808467,BELUGA PACIFIC,14876,Crude Oil Tanker,Handy,2018,PCL Tankers Pte Ltd,Singapore (SGP),ABS,25/1/2018,, , ,,
9903528,CHANG JI ZHOU,16363,Crude Oil Tanker,Handy,2022,UNKNOWN,China Peoples's Republic (CHN),#N/A,#N/A,, , ,,
9204764,SEATURBOT,21353,Crude Oil Tanker,Handy,2000,German Tanker Shipping,Comoros (COM),NV,26/6/2020,, , ,,
9167174,KIARA,22181,Crude Oil Tanker,Handy,2000,SCORPIO TANKERS,Liberia (LBR),LRS,2/12/2015,, , ,,
9305403,BRAVO,6522,Chemical/Oil Products Tanker,Small Tanker,2004,UNKNOWN,Liberia (LBR),NV,11/8/2019,, , ,,
9167162,NAWRAS,22181,Crude Oil Tanker,Handy,2000,Oceangold Tankers,Gabon (GAB),NV,30/12/2020,, , ,,
9307437,BTS CAMILLA,6522,Chemical/Oil Products Tanker,Small Tanker,2005,BTS Tankers,Singapore (SGP),ABS,11/5/2018,, , ,,
9167150,OASIS II,22181,Crude Oil Tanker,Handy,2000,UNKNOWN,Panama (PAN),CRS,14/5/2021,, , ,,
9214757,OLYMPUS I,22184,Crude Oil Tanker,Handy,2001,Gemilang Bina Lintas Tirta,Indonesia (IDN),RINA,2/9/2016,, , ,,
9228849,SC EXPRESS LV,23217,Crude Oil Tanker,Handy,2001,SOECHI GROUP,Indonesia (IDN),KR,5/6/2016,, , ,,
9334430,DOMENICO IEVOLI,6522,Chemical/Oil Products Tanker,Small Tanker,2006,Marnavi,Italy (ITA),ABS,24/3/2020,, , ,,
9890006,YOU PIN 1,6542,Oil Products Tanker,Small Tanker,2019,UNKNOWN,China Peoples's Republic (CHN),#N/A,#N/A,, , ,,
9510618,ARNAB,6601,Oil Products Tanker,Small Tanker,2008,UNKNOWN,Panama (PAN),NV,27/10/2021,, , ,,
9397030,GLOBAL HARMONY,6601,Oil Products Tanker,Small Tanker,2007,UNKNOWN,Cook islands (COK),RINA,29/6/2017,,YES, ,,YES
9260043,PETROSAMUDRA,23240,Crude Oil Tanker,Handy,2004,BUANA LINTAS LAUTAN,Indonesia (IDN),BV,24/6/2019,, , ,,
9394466,LADY AZEL,6601,Oil Products Tanker,Small Tanker,2006,UNKNOWN,Palau (Republic of) (PLW),IRS,19/6/2017,, , ,,
9415741,GEORGINA PG,6688,Oil Products Tanker,Small Tanker,2008,Pritchard-Gordon Tankers,Isle of Man (IMN),LRS,3/5/2018,, , ,,
9260031,QUEEN PROTOCOL,23240,Crude Oil Tanker,Handy,2003,Pertamina,Indonesia (IDN),BV,4/8/2016,, , ,,
9231626,AMBERMAR,23849,Crude Oil Tanker,Handy,2002,Waruna Nusa Sentana,Indonesia (IDN),ABS,27/3/2022,, , ,,
9176929,ANNELEEN,24242,Crude Oil Tanker,Handy,2002,Knutsen OAS Shipping A/S,Barbados (BRB),NV,19/9/2017,, , ,,
9313527,GIJON KNUTSEN,24242,Crude Oil Tanker,Handy,2006,Knutsen OAS Shipping A/S,Denmark (DIS) (DIS),NV,10/5/2016,, , ,,
9223253,PRIMA TANGGUH LVI,24910,Crude Oil Tanker,Handy,2002,Pertamina,Indonesia (IDN),RINA,8/8/2017,, , ,,
9285328,VERONICA PG,6688,Chemical/Oil Products Tanker,Small Tanker,2004,Pritchard-Gordon Tankers,Isle of Man (IMN),LRS,23/6/2019,, , ,,
9328699,SAVVY,6691,Oil Products Tanker,Small Tanker,2005,UNKNOWN,Singapore (SGP),NKK,20/1/2020,, , ,,
9403267,DL RUBY,6716,Chemical/Oil Products Tanker,Small Tanker,2008,Donglim Tanker,Korea (Republic of) (KOR),KR,29/7/2017,, , ,,
9255971,GOLDEN DREAM,6753,Chemical/Oil Products Tanker,Small Tanker,2002,UNKNOWN,Indonesia (IDN),NKK,28/12/2016,, , ,,
9230268,STO CAMELLIA,6757,Chemical/Oil Products Tanker,Small Tanker,2000,UNKNOWN,Korea (Republic of) (KOR),KR,21/10/2020,, , ,,
9247168,SIRI KNUTSEN,24916,Crude Oil Tanker,Handy,2004,Knutsen OAS Shipping A/S,Norway (NIS) (NIS),NV,6/6/2019,, , ,,
9617442,CECH,26827,Crude Oil Tanker,Handy,2012,SOKANA,Singapore (SGP),ABS,14/12/2017,, , ,,
9617454,ESSIEN,26827,Crude Oil Tanker,Handy,2013,Sinopec,Singapore (SGP),ABS,6/2/2018,, , ,,
9746059,SANGGAU,27286,Crude Oil Tanker,Handy,2016,Pertamina,Indonesia (IDN),BV,16/12/2020,, , ,,
9746073,SERUI,27286,Crude Oil Tanker,Handy,2016,HEIDMAR,Indonesia (IDN),BV,30/3/2016,, , ,,
9292034,TOWER BRIDGE,27725,Crude Oil Tanker,Handy,2004,SUN SHIP MANAGEMENT,Liberia (LBR),LRS,28/1/2020,, ,YES,,YES
9258167,TROITSKY BRIDGE,27725,Crude Oil Tanker,Handy,2003,SUN SHIP MANAGEMENT,Liberia (LBR),LRS,4/1/2019,, ,YES,,YES
9258179,VALOR,27725,Crude Oil Tanker,Handy,2004,HEIDMAR,Liberia (LBR),NV,4/6/2019,, , ,,
9746061,SANANA,28003,Crude Oil Tanker,Handy,2016,HEIDMAR,Indonesia (IDN),BV,23/3/2016,, , ,,
9282558,PRIORITY C,28245,Crude Oil Tanker,Handy,2005,CHEMNAV,Liberia (LBR),ABS,30/4/2020,, , ,YES,
9282297,DAI MINH,28529,Crude Oil Tanker,Handy,2004,VOSCO,Vietnam (VNM),ABS,8/2/2022,, , ,,
9221671,ELZA,28539,Crude Oil Tanker,Handy,2000,AISSOT,Liberia (LBR),KR,29/2/2016,, , ,,
9247778,IRIS,28539,Crude Oil Tanker,Handy,2002,Chemship,Palau (Republic of) (PLW),NV,10/10/2020,, , ,,
9393060,DERG,6764,Chemical/Oil Products Tanker,Small Tanker,2008,Besiktas,Malta (MLT),BV,6/4/2018,, , ,,
9251028,KESTREL,28539,Crude Oil Tanker,Handy,2002,Seven Islands,India (IND),IRS,20/8/2016,, , ,,
9254070,CHAPEL,28567,Crude Oil Tanker,Handy,2003,UNION MARITIME,Nigeria (NGA),BV,3/4/2020,, , ,,
9254240,DUKE II,28567,Crude Oil Tanker,Handy,2003,Torm,Panama (PAN),LRS,13/2/2018,, , ,YES,YES
9413779,PACIFIC JEWEL,28754,Crude Oil Tanker,Handy,2009,NORDEN,"Hong Kong, China (HKG)",KR,10/9/2019,, , ,,
9547520,AKANE,28777,Crude Oil Tanker,Handy,2009,Asahi MOL,Panama (PAN),ABS,28/7/2019,, , ,,
9561370,VELOS FORZA,28777,Crude Oil Tanker,Handy,2010,HAFNIA,Marshall Islands (MHL),ABS,29/4/2020,, , ,,
9573701,BASTILLE STREET,28778,Crude Oil Tanker,Handy,2011,ZODIAC MARITIME,Liberia (LBR),NKK,4/5/2016,, , ,,
9573660,PACIFIC DIAMOND,28778,Crude Oil Tanker,Handy,2010,EASTERN PACIFIC SHIPPING,Liberia (LBR),ABS,23/12/2020,, , ,,
9573696,PACIFIC QUARTZ,28778,Crude Oil Tanker,Handy,2011,EASTERN PACIFIC SHIPPING,Liberia (LBR),ABS,19/4/2016,, , ,,
9573672,VENDOME STREET,28778,Crude Oil Tanker,Handy,2011,ZODIAC MARITIME,Liberia (LBR),NKK,31/3/2016,, , ,,
9393072,ERNE,6764,Chemical/Oil Products Tanker,Small Tanker,2009,Besiktas,Malta (MLT),BV,24/4/2019,, , ,,
9270749,JAG PRABHA,28799,Crude Oil Tanker,Handy,2004,GESCO,India (IND),LRS,19/11/2019,, , ,,
9270737,KRITI,28799,Crude Oil Tanker,Handy,2004,Motor Oil Hellas (MOH),Greece (GRC),KR,18/10/2019,, , ,,
9309148,VS LARA,6785,Chemical/Oil Products Tanker,Small Tanker,2006,HAFNIA,Malta (MLT),BV,14/2/2016,, , ,,
9244386,MAC SINGAPORE,6823,Chemical/Oil Products Tanker,Small Tanker,2001,Unknown Chinese,Panama (PAN),KR,7/6/2016,, , ,,
9382700,SEAMUSE,28799,Crude Oil Tanker,Handy,2007,SIGNAL MARITIME,Marshall Islands (MHL),NKK,1/10/2020,, , ,,
9263928,TRANS ADRIATIC,6837,Chemical/Oil Products Tanker,Small Tanker,2002,SEATRANS,Bahamas (BHS),NV,12/5/2017,, , ,,
9382712,SWAN,28799,Crude Oil Tanker,Handy,2007,HAFNIA,Marshall Islands (MHL),NKK,31/12/2016,, , ,YES,
9271028,BEI HAI YUAN WANG,29156,Crude Oil Tanker,Handy,2003,Shanghai North Sea Shipping,China Peoples's Republic (CHN),CCS,20/12/2018,, , ,,
9288849,ANDREA VICTORY,29214,Crude Oil Tanker,Handy,2005,Champion Tankers,Norway (NIS) (NIS),LRS,16/12/2015,, , ,,
9288837,CHAMPION TIMUR,29214,Crude Oil Tanker,Handy,2005,Champion Tankers,Norway (NIS) (NIS),LRS,30/9/2020,, , ,,
9232709,DA QING 451,29288,Crude Oil Tanker,Handy,2001,Nanjing Tanker,China Peoples's Republic (CHN),CCS,18/10/2016,, , ,,
9232711,DA QING 452,29288,Crude Oil Tanker,Handy,2001,Nanjing Tanker,China Peoples's Republic (CHN),CCS,15/11/2016,, , ,,
9245691,DA QING 453,29288,Crude Oil Tanker,Handy,2002,Nanjing Tanker,China Peoples's Republic (CHN),CCS,21/1/2017,, , ,,
9245706,DA QING 454,29288,Crude Oil Tanker,Handy,2002,Nanjing Tanker,China Peoples's Republic (CHN),CCS,19/9/2017,, , ,,
9259757,DA QING 455,29288,Crude Oil Tanker,Handy,2003,Nanjing Tanker,China Peoples's Republic (CHN),CCS,29/11/2017,, , ,,
9259769,DA QING 456,29288,Crude Oil Tanker,Handy,2003,Nanjing Tanker,China Peoples's Republic (CHN),CCS,24/4/2018,, , ,,
9257125,RAYONG CHEMI,6843,Chemical/Oil Products Tanker,Small Tanker,2002,Sunwoo Tanker,Korea (Republic of) (KOR),KR,7/3/2017,, , ,,
9279939,CNC RICH,6861,Chemical/Oil Products Tanker,Small Tanker,2003,UNKNOWN,Korea (Republic of) (KOR),KR,16/5/2018,, , ,,
9314715,TRANS CHEMICA,6868,Chemical/Oil Products Tanker,Small Tanker,2005,SEATRANS,Malta (MLT),NV,6/2/2020,, , ,,
8982888,GLOBAL EMERALD,6883,Oil Products Tanker,Small Tanker,2003,UNKNOWN,Panama (PAN),NV,14/4/2016,, , ,,
9285718,SUCCESS,29335,Crude Oil Tanker,Handy,2004,Seven Islands,India (IND),KR,11/2/2019,, , ,,
9314765,STOLT RINDO,6944,Chemical/Oil Products Tanker,Small Tanker,2005,Stolt Tankers,Panama (PAN),NKK,12/2/2020,, , ,,
9285732,ZONDA,29335,Crude Oil Tanker,Handy,2004,NNPC,Nigeria (NGA),BV,20/9/2019,, , ,,
9896244,YUAN JING HE,29861,Crude Oil Tanker,Handy,2021,Petronas,China Peoples's Republic (CHN),CCS,13/9/2021,, , ,,
9405746,LASCAUX,6953,Chemical/Oil Products Tanker,Small Tanker,2007,UNKNOWN,Malta (MLT),BV,23/11/2016,, , ,,
9896256,YUAN YU HE,29861,Crude Oil Tanker,Handy,2022,Nanjing Tanker,China Peoples's Republic (CHN),CCS,22/2/2022,, , ,,
9856684,AL ADAILIAH,29888,Crude Oil Tanker,Handy,2020,KPC,Kuwait (KWT),LRS,28/2/2020,, , ,,
9498080,GOLDEN CYGNUS,6961,Chemical/Oil Products Tanker,Small Tanker,2010,Abo Shoten,Singapore (SGP),NKK,28/5/2020,, , ,,
9478274,GOLDEN SIRIUS,6961,Chemical/Oil Products Tanker,Small Tanker,2009,ENEOS (Formerly JX),Panama (PAN),NKK,24/10/2018,, , ,,
9856696,AL YAMAMAH,29888,Crude Oil Tanker,Handy,2020,KPC,Kuwait (KWT),LRS,31/3/2020,, , ,,
9856701,SHEGARDIAH,29888,Crude Oil Tanker,Handy,2020,KPC,Kuwait (KWT),LRS,28/4/2020,, , ,,
9856713,SIFSAFAH,29888,Crude Oil Tanker,Handy,2020,KPC,Kuwait (KWT),LRS,28/5/2020,, , ,,
9611644,FU CHI,30325,Crude Oil Tanker,Handy,2012,COSCO SHIPPING ENERGY (CSET),China Peoples's Republic (CHN),CCS,1/8/2017,, , ,,
9478262,SINGAPORE PIONEER,6968,Chemical/Oil Products Tanker,Small Tanker,2009,Shanghai Dingheng Shipping,Panama (PAN),NKK,15/5/2017,, , ,,
9611656,GUI CHI,30325,Crude Oil Tanker,Handy,2012,COSCO SHIPPING ENERGY (CSET),China Peoples's Republic (CHN),CCS,22/10/2017,, , ,,
9611682,HE CHI,30325,Crude Oil Tanker,Handy,2013,COSCO SHIPPING ENERGY (CSET),China Peoples's Republic (CHN),CCS,11/12/2017,, , ,,
9264879,SAEHAN WALLABY,6976,Chemical/Oil Products Tanker,Small Tanker,2003,C & C Maritime Pte Ltd,Panama (PAN),KR,23/1/2017,, , ,,
9269594,WOOJIN EVELYN,6976,Chemical/Oil Products Tanker,Small Tanker,2002,Woo Jin Shipping,Korea (Republic of) (KOR),KR,7/4/2017,, , ,,
9611632,HUA CHI,30325,Crude Oil Tanker,Handy,2012,COSCO SHIPPING ENERGY (CSET),China Peoples's Republic (CHN),CCS,23/8/2017,, , ,,
9642071,HUA HAI 21,30325,Crude Oil Tanker,Handy,2013,Hua Hai Petroleum,China Peoples's Republic (CHN),CCS,29/3/2018,, , ,,
9421594,GOLDEN PIONEER,7002,Chemical/Oil Products Tanker,Small Tanker,2010,UNKNOWN,Marshall Islands (MHL),KR,8/8/2020,, , ,,
9815757,AILSA,66654,"FSO, Oil",FSO,2018,UNKNOWN,United Kingdom (GBR),NV,31/5/2018,, , ,,
9377066,LACANAU,7020,Chemical/Oil Products Tanker,Small Tanker,2007,HAFNIA,France (RIF) (FIS),BV,12/10/2016,, , ,,
9611670,LI CHI,30325,Crude Oil Tanker,Handy,2012,COSCO SHIPPING ENERGY (CSET),China Peoples's Republic (CHN),CCS,22/9/2017,, , ,,
9611620,RONG CHI,30325,Crude Oil Tanker,Handy,2012,COSCO SHIPPING ENERGY (CSET),China Peoples's Republic (CHN),CCS,17/4/2017,, , ,,
8538522,CHI XUN 169,7023,Oil Products Tanker,Small Tanker,2012,UNKNOWN,China Peoples's Republic (CHN),#N/A,#N/A,, , ,,
9611694,SHAN CHI,30325,Crude Oil Tanker,Handy,2013,COSCO SHIPPING ENERGY (CSET),China Peoples's Republic (CHN),CCS,9/1/2018,, , ,,
8560185,GUO HONG 17,7023,Oil Products Tanker,Small Tanker,2011,UNKNOWN,China Peoples's Republic (CHN),#N/A,#N/A,, , ,,
9655274,HAI ZHI XING 998,7023,Oil Products Tanker,Small Tanker,2013,UNKNOWN,China Peoples's Republic (CHN),#N/A,#N/A,, , ,,
9520120,PHILIPPA MALEE,7030,Chemical/Oil Products Tanker,Small Tanker,2008,UNKNOWN,Thailand (THA),BV,28/8/2022,, , ,,
9611668,XIU CHI,30325,Crude Oil Tanker,Handy,2012,COSCO SHIPPING ENERGY (CSET),China Peoples's Republic (CHN),CCS,15/11/2017,, , ,,
9262429,QIU CHI,30456,Crude Oil Tanker,Handy,2009,COSCO SHIPPING ENERGY (CSET),"Hong Kong, China (HKG)",NV,6/1/2019,, , ,,
9262417,QIAN CHI,30501,Crude Oil Tanker,Handy,2008,COSCO SHIPPING ENERGY (CSET),"Hong Kong, China (HKG)",NV,9/7/2018,, , ,,
9311309,GLOBAL ANGEL,7034,Oil Products Tanker,Small Tanker,2003,UNKNOWN,Panama (PAN),BV,7/7/2018,, , ,,
9423906,BACHATA,30964,Crude Oil Tanker,Handy,2008,OCEAN TANKERS,Marshall Islands (MHL),ABS,20/7/2018,, , ,,
9468815,BOLERO,30964,Crude Oil Tanker,Handy,2009,Spring Marine,Marshall Islands (MHL),ABS,31/12/2018,, , ,,
9512185,PACCHA,30964,Crude Oil Tanker,Handy,2009,FLOPEC,Marshall Islands (MHL),NKK,15/12/2020,, , ,,
9308132,BEKS EBRU,30965,Crude Oil Tanker,Handy,2006,Moller A. P.,Marshall Islands (MHL),ABS,5/12/2016,, , ,,
9356751,BEKS FENIX,30965,Crude Oil Tanker,Handy,2007,LITASCO,Marshall Islands (MHL),ABS,22/1/2017,, , ,,
9308168,CLEAN NIRVANA,30965,Crude Oil Tanker,Handy,2008,Stealth Maritime,Panama (PAN),ABS,4/2/2018,, , ,,
9308156,ELIZABETH M,30965,Crude Oil Tanker,Handy,2007,NORDEN,Marshall Islands (MHL),ABS,28/7/2017,, , ,YES,
9308170,OCEAN JUPITER,30965,Crude Oil Tanker,Handy,2007,LITASCO,Panama (PAN),ABS,20/1/2018,, , ,YES,YES
9543811,AN RUN 3,7041,Chemical/Oil Products Tanker,Small Tanker,2009,UNKNOWN,China Peoples's Republic (CHN),CCS,19/8/2019,, , ,,
9356763,OCEAN WAVE I,30965,Crude Oil Tanker,Handy,2008,Trafigura,Panama (PAN),ABS,24/8/2018,, , ,,
9582063,NAN LIAN 006,7041,Chemical/Oil Products Tanker,Small Tanker,2010,Nanjing Shenghang Shipping,China Peoples's Republic (CHN),CCS,12/6/2020,, , ,,
9308144,ST. ANDREW,30965,Crude Oil Tanker,Handy,2007,UNKNOWN,Liberia (LBR),ABS,10/6/2017,, , ,YES,
9308120,SUPER RUBY,30965,Crude Oil Tanker,Handy,2006,Gunvor,Marshall Islands (MHL),ABS,10/4/2016,, , ,,
9543794,NEW INTEGRITY,7041,Chemical/Oil Products Tanker,Small Tanker,2009,UNKNOWN,Panama (PAN),BV,17/1/2019,, , ,,
9390537,GRIFFIN,7057,Chemical/Oil Products Tanker,Small Tanker,2008,VR Shipping,Singapore (SGP),BV,29/3/2016,, , ,,
9428841,SM NAVIGATOR,30967,Crude Oil Tanker,Handy,2008,NORDEN,Panama (PAN),KR,14/7/2018,, , ,,
9383144,KS HONOR,7057,Oil Products Tanker,Small Tanker,2007,UNKNOWN,Korea (Republic of) (KOR),KR,18/7/2022,, , ,,
9390525,SANDRO,7057,Chemical/Oil Products Tanker,Small Tanker,2007,ASP Ship Management Singapore Pte Ltd,Panama (PAN),KR,10/1/2018,, , ,,
9284817,ALICIA,30971,Crude Oil Tanker,Handy,2005,Motor Oil Hellas (MOH),Cuba (CUB),#N/A,#N/A,, , ,,
9316555,AT HONOR,7064,Oil Products Tanker,Small Tanker,2005,Winson Shipping,Belize (BLZ),NKK,18/1/2021,, , ,,
9284788,DHAN LAXMI,30971,Crude Oil Tanker,Handy,2004,UNKNOWN,Gabon (GAB),ABS,11/11/2019,, , ,,
9292577,KRITI EMERALD,30971,Crude Oil Tanker,Handy,2005,Trafigura,Liberia (LBR),KR,30/7/2020,, , ,,
9321457,COSTANA H,7064,Chemical/Oil Products Tanker,Small Tanker,2006,UNKNOWN,St.Kitts and Nevis (KNA),KR,30/4/2016,, , ,,
9321469,KHADIGA,7064,Chemical/Oil Products Tanker,Small Tanker,2006,UNKNOWN,Palau (Republic of) (PLW),KR,4/11/2016,, , ,,
9284805,NEUTRON RAY,30971,Crude Oil Tanker,Handy,2005,NORDEN,Marshall Islands (MHL),ABS,17/6/2021,, , ,,
9284790,RED RUBY,30971,Crude Oil Tanker,Handy,2005,OTC,Panama (PAN),ABS,18/1/2020,, , ,,
9292589,SUPER EMERALD,30971,Crude Oil Tanker,Handy,2005,HEIDMAR,Marshall Islands (MHL),ABS,19/11/2021,, , ,YES,
9344928,LI PING TAN,31004,Crude Oil Tanker,Handy,2007,COSCO SHIPPING ENERGY (CSET),China Peoples's Republic (CHN),CCS,7/7/2017,, , ,,
9344942,LU DING TAN,31004,Crude Oil Tanker,Handy,2007,COSCO SHIPPING ENERGY (CSET),China Peoples's Republic (CHN),CCS,6/12/2017,, , ,,
9337822,MARIA E,7064,Chemical/Oil Products Tanker,Small Tanker,2007,Lotus Shipping,Panama (PAN),NKK,24/2/2017,, , ,,
9342774,RUI JIN TAN,31004,Crude Oil Tanker,Handy,2007,COSCO SHIPPING ENERGY (CSET),China Peoples's Republic (CHN),CCS,14/4/2017,, , ,,
9344930,ZUN YI TAN,31004,Crude Oil Tanker,Handy,2007,COSCO SHIPPING ENERGY (CSET),China Peoples's Republic (CHN),CCS,13/9/2017,, , ,,
9262481,WEI CHI,31150,Crude Oil Tanker,Handy,2009,COSCO SHIPPING ENERGY (CSET),"Hong Kong, China (HKG)",LRS,10/6/2019,, , ,,
9262493,YE CHI,31150,Crude Oil Tanker,Handy,2009,COSCO SHIPPING ENERGY (CSET),"Hong Kong, China (HKG)",LRS,12/12/2019,, , ,,
9337810,PANTELIS,7064,Chemical/Oil Products Tanker,Small Tanker,2007,Lotus Shipping,Panama (PAN),NKK,29/3/2017,, , ,,
9316543,TAKIS,7064,Chemical/Oil Products Tanker,Small Tanker,2005,Lotus Shipping,Panama (PAN),NKK,30/9/2020,, , ,,
9479993,YC DAHLIA,7072,Chemical/Oil Products Tanker,Small Tanker,2010,UNKNOWN,Korea (Republic of) (KOR),KR,31/10/2020,, , ,,
9480007,YC IRIS,7072,Chemical/Oil Products Tanker,Small Tanker,2011,UNKNOWN,Korea (Republic of) (KOR),KR,3/3/2016,, , ,,
9596375,CHANG HANG BI YU,31530,Crude Oil Tanker,Handy,2011,Nanjing Tanker,China Peoples's Republic (CHN),CCS,5/1/2021,, , ,,
8335243,SUNFAR NO. 1,7090,Oil Products Tanker,Small Tanker,2000,UNKNOWN,Not Known,#N/A,#N/A,, , ,,
9236339,AU LIBRA,7092,Chemical/Oil Products Tanker,Small Tanker,2000,UNKNOWN,Panama (PAN),NKK,24/10/2020,, , ,,
9596363,CHANG HANG HU PO,31530,Crude Oil Tanker,Handy,2011,Nanjing Tanker,China Peoples's Republic (CHN),CCS,5/5/2016,, , ,,
9229025,SEA CROWN,7093,Chemical/Oil Products Tanker,Small Tanker,2001,UNKNOWN,Cook islands (COK),BV,29/9/2016,, , ,,
9582439,CHANG HANG MA NAO,31530,Crude Oil Tanker,Handy,2010,Nanjing Tanker,China Peoples's Republic (CHN),CCS,13/10/2020,, , ,,
9583299,CHANG HANG ZHEN ZHU,31530,Crude Oil Tanker,Handy,2010,Nanjing Tanker,China Peoples's Republic (CHN),CCS,2/4/2020,, , ,,
9563275,CHANG HANG FEI CUI,31534,Crude Oil Tanker,Handy,2009,Nanjing Tanker,China Peoples's Republic (CHN),CCS,26/11/2019,, , ,,
9266889,TSM POLLUX,7099,Chemical/Oil Products Tanker,Small Tanker,2003,UNKNOWN,Liberia (LBR),BV,7/6/2018,, , ,,
9563251,CHANG HANG ZUAN SHI,31534,Crude Oil Tanker,Handy,2009,Nanjing Tanker,China Peoples's Republic (CHN),CCS,24/10/2019,, , ,,
9324497,BAHRI TULIP,32105,Crude Oil Tanker,Handy,2006,Maersk Tankers,Saudi Arabia (SAU),NV,23/10/2016,, , ,,
9412892,FLORES,7120,Oil Products Tanker,Small Tanker,2007,Global Energy International,Singapore (SGP),NKK,3/12/2017,, , ,,
9292826,BAHRI IRIS,32144,Crude Oil Tanker,Handy,2005,Maersk Tankers,Saudi Arabia (SAU),NV,12/8/2020,, , ,,
9292838,BAHRI JASMINE,32144,Crude Oil Tanker,Handy,2005,Maersk Tankers,Saudi Arabia (SAU),NV,21/7/2020,, , ,,
9323596,BAHRI ROSE,32144,Crude Oil Tanker,Handy,2006,Maersk Tankers,Saudi Arabia (SAU),NV,1/3/2016,, , ,,
9615444,BEI HAI HOU WANG,33135,Crude Oil Tanker,Handy,2011,Shanghai North Sea Shipping,China Peoples's Republic (CHN),CCS,17/10/2016,, , ,,
9474369,HAKKASAN,7120,Oil Products Tanker,Small Tanker,2008,Coral Shipping Corp,Marshall Islands (MHL),NV,8/12/2018,, , ,,
9584114,BEI HAI ZHONG WANG,33135,Crude Oil Tanker,Handy,2011,Shanghai North Sea Shipping,China Peoples's Republic (CHN),CCS,17/4/2016,, , ,,
8538467,JIAN QIAO 111,7132,Oil Products Tanker,Small Tanker,2012,UNKNOWN,China Peoples's Republic (CHN),#N/A,#N/A,, , ,,
9323962,ALIAKMON,35711,Crude Oil Tanker,Handy,2006,Pleiades Shipping Agents,Liberia (LBR),LRS,30/3/2016,, , ,,
8538596,JIAN QIAO 112,7132,Oil Products Tanker,Small Tanker,2012,UNKNOWN,China Peoples's Republic (CHN),#N/A,#N/A,, , ,,
9366196,GOLDEN DENISE,7142,Chemical/Oil Products Tanker,Small Tanker,2006,UNKNOWN,Panama (PAN),KR,30/8/2016,, , ,,
9317262,WOOJIN FRANK,7143,Chemical/Oil Products Tanker,Small Tanker,2005,Woo Jin Shipping,Korea (Republic of) (KOR),KR,11/2/2020,, , ,,
9890082,MAREX MOM,7144,Chemical/Oil Products Tanker,Small Tanker,2020,"Mitsui O.S.K. Lines, Ltd.",Singapore (SGP),NKK,21/12/2020,, , ,,
8671025,AO TAI 2,7195,Oil Products Tanker,Small Tanker,2012,UNKNOWN,China Peoples's Republic (CHN),#N/A,#N/A,, , ,,
9746293,SHENG JIANG 66,7195,Oil Products Tanker,Small Tanker,2014,UNKNOWN,China Peoples's Republic (CHN),#N/A,#N/A,, , ,,
9414046,DING HENG 26,7206,Chemical/Oil Products Tanker,Small Tanker,2007,Shanghai Dingheng Shipping,Liberia (LBR),BV,18/10/2022,, , ,,
9309253,ASOPOS,35711,Crude Oil Tanker,Handy,2006,Pleiades Shipping Agents,Liberia (LBR),LRS,9/3/2016,, , ,,
