IMO,Name of ship,Gross tonnage,Type of ship,Vessel Size,Year of build,Controller,Flag,Class,Last Survey,Russian lifter,Iran Linked?,Re Classed in 2022,Transacted in 2022,Suspicious
9925136,AQUAHONOR,81072,Crude Oil Tanker,Suezmax,2022,MERCURIA,Liberia (LBR),ABS,29/8/2022,, , ,,
9329667,NS PARADE,25467,Chemical/Oil Products Tanker,MR,2008,SUN SHIP MANAGEMENT,Liberia (LBR),IRS,11/11/2018,, ,YES,,YES
9329655,NS POINT,25467,Chemical/Oil Products Tanker,MR,2008,SUN SHIP MANAGEMENT,Liberia (LBR),IRS,6/8/2018,, ,YES,,YES
9934826,SEAGRACE,81072,Crude Oil Tanker,Suezmax,2022,THENAMARIS,Malta (MLT),ABS,22/11/2022,, , ,,
9322968,NS POWER,25467,Chemical/Oil Products Tanker,MR,2006,SUN SHIP MANAGEMENT,Liberia (LBR),IRS,2/9/2021,, ,YES,,YES
9322956,NS PRIDE,25467,Chemical/Oil Products Tanker,MR,2006,SUN SHIP MANAGEMENT,Liberia (LBR),IRS,14/11/2020,, ,YES,,YES
9290323,AEGEAN ANGEL,81074,Crude Oil Tanker,Suezmax,2004,Arcadia Shipmanagement,Greece (GRC),ABS,9/8/2019,, , ,,
9290335,AEGEAN DIGNITY,81074,Crude Oil Tanker,Suezmax,2004,ARCADIA,Greece (GRC),ABS,28/2/2020,, , ,,
9269075,NEW DISCOVERY,81074,Crude Oil Tanker,Suezmax,2003,New Shipping,Liberia (LBR),LRS,9/11/2018,, , ,,
9286229,OCEAN HERMANA,81074,Crude Oil Tanker,Suezmax,2004,SYGNIUS SHIP MANAGEMENT,Panama (PAN),LRS,19/4/2019,,YES, ,YES,YES
9278492,MAERSK PEARY,25487,Chemical/Oil Products Tanker,MR,2004,Maersk Tankers,United States of America (USA),ABS,28/9/2016,, , ,,
9278480,ST ILHAAM,25487,Chemical/Oil Products Tanker,MR,2004,Sea Transport Services Nigeria Ltd,Nigeria (NGA),LRS,31/12/2019,, , ,,
9286281,ONISILOS,81074,Crude Oil Tanker,Suezmax,2004,Trafigura,Liberia (LBR),LRS,31/12/2018,, , ,YES,
9293131,CENTURY,81076,Crude Oil Tanker,Suezmax,2005,Seven Islands,India (IND),ABS,8/3/2021,, , ,,
9293143,CLASSIC,81076,Crude Oil Tanker,Suezmax,2005,Seven Islands,India (IND),ABS,10/3/2021,, , ,,
9267027,BULL KANGEAN,25507,Chemical/Oil Products Tanker,MR,2004,Maersk Tankers,Indonesia (IDN),NKK,10/10/2019,, , ,,
9251456,DAPHNE I,25507,Chemical/Oil Products Tanker,MR,2003,Carbon Shipping,Panama (PAN),BV,24/6/2018,, , ,,
9293129,CONCORD,81076,Crude Oil Tanker,Suezmax,2005,Indian Oil (IOC),India (IND),ABS,4/1/2021,, , ,YES,
9341512,DELPHI,25507,Chemical/Oil Products Tanker,MR,2006,ROHI NAUTICAL SERVICES OPC PVT,Gabon (GAB),RINA,25/9/2021,,YES, ,,YES
9256298,MAERSK KALEA,25507,Chemical/Oil Products Tanker,MR,2004,Petrobras,Singapore (SGP),ABS,3/5/2019,, , ,,
